ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,PIndex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,StrategicWetland,LandTypeYear1,LandTypeYear2,LandTypeYear3,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3
1,1,1,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,1,12,12,24.58,30.39,34.34,28.18
2,1,2,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,1,6,6,24.58,30.39,34.34,28.18
3,1,3,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,1,14,14,24.58,30.39,34.34,28.18
4,1,4,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,1,0.000203874,0,1,2,2,24.58,30.39,34.34,28.18
5,1,5,10,1,18980,486,17.5,2080,30,1.5,20,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,1,1,5,5,24.58,30.39,34.34,28.18
6,1,6,10,1,18980,486,17.5,2080,30,1.5,30,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,1,1,12,12,24.58,30.39,34.34,28.18
7,1,7,10,1,18980,486,17.5,2080,30,1.5,20,,1,57.2,1.636904762,A,60.32,0,2,2750,0,0.000203874,0,1,12,12,24.58,30.39,34.34,28.18
8,1,8,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,2,2750,1,0.000203874,0,1,4,4,24.58,30.39,34.34,28.18
9,1,9,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,2,2750,1,0.000203874,0,1,13,13,24.58,30.39,34.34,28.18
10,1,10,10,1,18980,486,17.5,2080,30,1.5,0,,3,23.6,1.636904762,M,60.32,0,2,2750,1,0.000203874,0,1,4,4,24.58,30.39,34.34,28.18
11,1,11,10,1,18980,486,17.5,2080,30,1.5,0,,3,23.6,1.636904762,M,60.32,0,2,2750,2,0.000203874,0,1,3,3,24.58,30.39,34.34,28.18
12,1,12,10,1,18980,486,17.5,2210,30,1.5,0, ,3,23.6,1.636904762,M,64.09,0,2,2750,3,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
13,1,13,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,3,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
14,1,14,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,4,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
15,1,15,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,4,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
16,1,16,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,4,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
17,1,17,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,5,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
18,2,1,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,3,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
19,2,2,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,2,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
20,2,3,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,2,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
